filename, language, JSON, XML, Markdown, HTML, JavaScript, TypeScript, SCSS, Swift, comment, blank, total
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\assets\shapes.svg, XML, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\environments\environment.prod.ts, TypeScript, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\environments\environment.ts, TypeScript, 0, 0, 0, 0, 0, 4, 0, 0, 11, 3, 18
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\global.scss, SCSS, 0, 0, 0, 0, 0, 0, 11, 0, 14, 4, 29
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\index.html, HTML, 0, 0, 0, 19, 0, 0, 0, 0, 1, 8, 28
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\main.ts, TypeScript, 0, 0, 0, 0, 0, 9, 0, 0, 0, 4, 13
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\polyfills.ts, TypeScript, 0, 0, 0, 0, 0, 2, 0, 0, 55, 10, 67
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\test.ts, TypeScript, 0, 0, 0, 0, 0, 13, 0, 0, 4, 4, 21
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\theme\variables.scss, SCSS, 0, 0, 0, 0, 0, 0, 62, 0, 12, 11, 85
d:\Quebec\UQAC\Projet\projetCalendrierInterface\src\zone-flags.ts, TypeScript, 0, 0, 0, 0, 0, 1, 0, 0, 4, 1, 6
d:\Quebec\UQAC\Projet\projetCalendrierInterface\tsconfig.app.json, JSON, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
d:\Quebec\UQAC\Projet\projetCalendrierInterface\tsconfig.json, JSON, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
d:\Quebec\UQAC\Projet\projetCalendrierInterface\tsconfig.spec.json, JSON, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
d:\Quebec\UQAC\Projet\projetCalendrierInterface\tslint.json, JSON, 88, 0, 0, 0, 0, 0, 0, 0, 0, 1, 89
Total, -, 15940, 158, 8, 608, 52, 1935, 348, 41, 401, 579, 20070
